      dex                name  sta  atk  def      fast_name      charge_name  ml_lvl      ml_tdo
0     493  Arceus Normal       237  238  238  Shadow Claw    Hyper Beam       40.0    378.043214
1     493  Arceus Psychic      237  238  238  Shadow Claw    Futuresight      40.0    373.681177
2     493  Arceus Dragon       237  238  238  Shadow Claw    Outrage          40.0    371.742494
3     493  Arceus Ghost        237  238  238  Shadow Claw    Hyper Beam       40.0    349.689973
4     383  Groudon             205  270  228  Mud Shot       Earthquake       40.0    349.081139
5     493  Arceus Ghost        237  238  238  Shadow Claw    Futuresight      40.0    346.054942
6     493  Arceus Ghost        237  238  238  Shadow Claw    Outrage          40.0    344.439373
7     445  Garchomp            239  261  193  Mud Shot       Earthquake       40.0    331.488468
8     493  Arceus Fire         237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
9     493  Arceus Grass        237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
10    493  Arceus Rock         237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
11    493  Arceus Psychic      237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
12    493  Arceus Electric     237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
13    493  Arceus Steel        237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
14    493  Arceus Poison       237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
15    493  Arceus Bug          237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
16    493  Arceus Dark         237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
17    493  Arceus Ice          237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
18    493  Arceus Dragon       237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
19    493  Arceus Fairy        237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
20    493  Arceus Ground       237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
21    493  Arceus Water        237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
22    493  Arceus Fighting     237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
23    493  Arceus Flying       237  238  238  Shadow Claw    Hyper Beam       40.0    330.787812
24    445  Garchomp            239  261  193  Mud Shot       Outrage          40.0    329.538536
25    493  Arceus Electric     237  238  238  Shadow Claw    Futuresight      40.0    327.152781
26    493  Arceus Normal       237  238  238  Shadow Claw    Futuresight      40.0    327.152781
27    493  Arceus Dark         237  238  238  Shadow Claw    Futuresight      40.0    327.152781
28    493  Arceus Rock         237  238  238  Shadow Claw    Futuresight      40.0    327.152781
29    493  Arceus Bug          237  238  238  Shadow Claw    Futuresight      40.0    327.152781
30    493  Arceus Ice          237  238  238  Shadow Claw    Futuresight      40.0    327.152781
31    493  Arceus Ground       237  238  238  Shadow Claw    Futuresight      40.0    327.152781
32    493  Arceus Poison       237  238  238  Shadow Claw    Futuresight      40.0    327.152781
33    493  Arceus Dragon       237  238  238  Shadow Claw    Futuresight      40.0    327.152781
34    493  Arceus Flying       237  238  238  Shadow Claw    Futuresight      40.0    327.152781
35    493  Arceus Water        237  238  238  Shadow Claw    Futuresight      40.0    327.152781
36    493  Arceus Grass        237  238  238  Shadow Claw    Futuresight      40.0    327.152781
37    493  Arceus Fire         237  238  238  Shadow Claw    Futuresight      40.0    327.152781
38    493  Arceus Steel        237  238  238  Shadow Claw    Futuresight      40.0    327.152781
39    493  Arceus Fighting     237  238  238  Shadow Claw    Futuresight      40.0    327.152781
40    493  Arceus Fairy        237  238  238  Shadow Claw    Futuresight      40.0    327.152781
41    493  Arceus Flying       237  238  238  Shadow Claw    Outrage          40.0    325.537212
42    493  Arceus Bug          237  238  238  Shadow Claw    Outrage          40.0    325.537212
43    493  Arceus Fairy        237  238  238  Shadow Claw    Outrage          40.0    325.537212
44    493  Arceus Normal       237  238  238  Shadow Claw    Outrage          40.0    325.537212
45    493  Arceus Water        237  238  238  Shadow Claw    Outrage          40.0    325.537212
46    493  Arceus Dark         237  238  238  Shadow Claw    Outrage          40.0    325.537212
47    493  Arceus Ground       237  238  238  Shadow Claw    Outrage          40.0    325.537212
48    493  Arceus Ice          237  238  238  Shadow Claw    Outrage          40.0    325.537212
49    493  Arceus Fire         237  238  238  Shadow Claw    Outrage          40.0    325.537212
50    493  Arceus Poison       237  238  238  Shadow Claw    Outrage          40.0    325.537212
51    493  Arceus Steel        237  238  238  Shadow Claw    Outrage          40.0    325.537212
